,YEAR,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,GTOTAL,CPI,GDP_B,GDP_DEF,POP_1000,MEDWAGE_HOUSE,GDP_PERCAP,,NOMGDP,NOMGDP_PERCAP,G1.delta,G2.delta,G3.delta,G4.delta,G5.delta,G6.delta,G7.delta,G8.delta,G9.delta,G10.delta,G11.delta,G12.delta
1,1984,32.52,47.73,15.23,280,325,150,7000,26.8,1511.78,1679.75,770.28,834.47,12673.56,1,7775.2,0.52,236307,47866,32902.96098,32902.96098,4043.104,17109.53971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1985,31.52,47.73,15.23,280,325,150,7000,26.8,1557,1730,793.32,859.43,12816.03,1.035611,8104.8,0.536,238416,48761,33994.36279,8104800000,4344.1728,18220.97846,-0.030750308,0,0,0,0,0,0,0,0.02991176,0.029915166,0.029911201,0.029911201
3,1986,44.95,50,15,280,275,150,7000,26.8,1602,1780,814.32,882.18,12920.25,1.05486,8389.4,0.547,240593,50488,34869.67618,8389400000,4589.0018,19073.71287,0.42607868,0.047559187,-0.015101773,0,-0.153846154,0,0,0,0.028901734,0.028901734,0.026471033,0.026471033
4,1987,44.95,50,15,280,750,150,7000,26.8,1800,2000,842.4,912.6,13871.75,1.093359,8679.8,0.561,242751,51121,35755.98041,8679800000,4869.3678,20059.10501,0,0,0,0,1.727272727,0,0,0,0.123595506,0.123595506,0.034482759,0.034482759
5,1988,39.95,50,15,280,625,150,7000,26.8,1800,2000,863.46,935.42,13785.63,1.138595,9044.7,0.581,244968,51514,36921.96532,9044700000,5254.9707,21451.66185,-0.111234705,0,0,0,-0.166666667,0,0,0,0,0,0.025,0.025005479
6,1989,39.95,50,15,280,750,150,7000,26.8,2084.4,2316,905.58,981.05,14598.78,1.193455,9377.6,0.603,247286,52432,37922.08212,9377600000,5654.6928,22867.01552,0,0,0,0,0.2,0,0,0,0.158,0.158,0.048780488,0.048780227
7,1990,27.48,50,15,280,600,150,7000,30.4,2417.9,2686.56,947.7,1026.68,15231.72,1.25794,9557.6,0.626,250047,51735,38223.21404,9557600000,5983.0576,23927.73199,-0.312140175,0,0,0,-0.2,0,0,0.134328358,0.159998081,0.16,0.046511628,0.046511391
8,1991,27.5,50,15,280,412.5,150,7000,34,2555.72,2839.69,1003.86,1087.52,15455.79,1.310876,9550.5,0.646,253392,50249,37690.61375,9550500000,6169.623,24348.13648,0.000727802,0,0,0,-0.3125,0,0,0.118421053,0.056999876,0.056998541,0.059259259,0.059258971
9,1992,27.5,50,15,280,300,150,7000,34,2606.83,2924.88,1053,1140.75,15581.96,1.350337,9890.1,0.661,256777,49836,38516.30014,9890100000,6537.3561,25459.27439,0,0,0,0,-0.272727273,0,0,0,0.019998278,0.029999753,0.048951049,0.048946226
10,1993,34.99,50,15,280,325,150,7000,34,2606.83,3012.63,1081.08,1171.17,15760.7,1.39076,10161.7,0.677,260146,49594,39061.52699,10161700000,6879.4709,26444.65377,0.272363636,0,0,0,0.083333333,0,0,0,0,0.030001231,0.026666667,0.026666667
