waypoint1,waypoint2,distance_m,duration_s
"1200 Bladensburg Rd NE, Washington, DC 20002","Capitol City Brewing Company, 1100 New York Avenue NW Washington, DC 20005",5210,922
"1601 Rhode Island Ave NE, Washington, DC 20018","6400 Chillum Pl NW Ste B, Washington, DC 20012-2111",6256,1021
"1601 Rhode Island Ave NE, Washington, DC 20018","2052 W Virginia Ave NE Ste 102, Washington, DC 20002-1832",1891,383
"1115 East-West Hwy, Silver Spring, MD 20910","920 Girard St NE, Washington, DC 20017",9403,1350
"1601 Rhode Island Ave NE, Washington, DC 20018","3178-B Bladensburg Rd NE, Washington, DC 20018-2204",2288,376
"3178-B Bladensburg Rd NE, Washington, DC 20018-2204","509 7th St NW, Washington, DC 20004-1600",7191,1255
"Capitol City Brewing Company, 1100 New York Avenue NW Washington, DC 20005","5788 2nd St NE, Washington, DC 20011",8647,1366
"2052 W Virginia Ave NE Ste 102, Washington, DC 20002-1832","509 7th St NW, Washington, DC 20004-1600",5003,904
"2052 W Virginia Ave NE Ste 102, Washington, DC 20002-1832","Capitol City Brewing Company, 1100 New York Avenue NW Washington, DC 20005",4909,846
"1115 East-West Hwy, Silver Spring, MD 20910","5788 2nd St NE, Washington, DC 20011",4714,847
"6400 Chillum Pl NW Ste B, Washington, DC 20012-2111","509 7th St NW, Washington, DC 20004-1600",9437,1445
"300 Tingey St SE, Washington, DC 20003-4600","Capitol City Brewing Company, 1100 New York Avenue NW Washington, DC 20005",5873,805
"509 7th St NW, Washington, DC 20004-1600","300 Tingey St SE, Washington, DC 20003-4600",5070,647
"1601 Rhode Island Ave NE, Washington, DC 20018","920 Girard St NE, Washington, DC 20017",1205,201
"300 Tingey St SE, Washington, DC 20003-4600","1200 Bladensburg Rd NE, Washington, DC 20002",4514,1028
"6400 Chillum Pl NW Ste B, Washington, DC 20012-2111","5788 2nd St NE, Washington, DC 20011",1509,373
"300 Tingey St SE, Washington, DC 20003-4600","5788 2nd St NE, Washington, DC 20011",11650,1653
