Longitude,Latitude,OBJECTID,NAME,GIS_ID,SSL,ADDRESS,PHONE,BFC,AMBULANCE,RESCSQUAD,MEDICUNIT,TRUCK,SPECIALTY,DETAIL,TYPE,ENGINE,BATTALION,RENSTATUS,AID,REL_UNITS,WEB_URL
-77.005147424,38.8308949941,33,Engine 33 Station,Fire_032,,101 ATLANTIC STREET SE,(202) 673-3233,0,33,0,25,8,,,Other Station,33,3,OPEN,294471,,http://app.fems.dc.gov/details.asp?cid=77
-77.049798132,38.9054942898,1,Engine 1 Station,Fire_026,0050    0822,2225 M STREET NW,(202) 673-3201,0,0,0,1,2,Twinned Agent Unit 2,,Other Station,1,6,OPEN,294540,,http://app.fems.dc.gov/details.asp?cid=45
-77.0194866944,38.8970740681,2,Engine 2 Station,Fire_022,0488    0833,500 F STREET NW,(202) 673-3202,0,0,1,0,0,"EMS 1-6, EMS 5, RS-1 Support Unit w/small boat, FCU ,FFD","EMS Supervisor 1-6, EMS Supervisor 5, Office of the Firefighting DFC, Mobile Command Unit, Rescue Squad 1, RS-1 High-angle Rescue, Swift Water Rescu",Other Station,2,6,OPEN,299998,,http://app.fems.dc.gov/details.asp?cid=46
-77.0109004284,38.8958344629,3,Engine 3 Station,Fire_035,0630 0833,439 NEW JERSEY AVENUE NW,(202) 673-3203,0,0,0,3,0,,,Other Station,3,6,OPEN,237163,,http://app.fems.dc.gov/details.asp?cid=47
-77.0250251878,38.9233965596,4,Engine 4 Station,Fire_011,2882    1036,2531 SHERMAN AVENUE NW,(202) 673-3204,0,0,0,4,0,AIR 1,"Safety Officer, Special Operations Office, Special Operations BC, Special Operations DC, Mask Room",Other Station,4,4,OPEN,232303,,http://app.fems.dc.gov/details.asp?cid=48
-77.0684358822,38.9114379353,5,Engine 5 Station,Fire_018,1277    0805,3412 DENT PLACE NW,(202) 673-3205,0,0,0,5,0,"Rehab Unit, Rehab Support Unit, CU",,Other Station,5,5,OPEN,294568,,http://app.fems.dc.gov/details.asp?cid=49
-77.0160775735,38.9076905728,6,Engine 6 Station,Fire_028,,1300 NEW JERSEY AVENUE NW,(202) 673-3206,0,6,0,0,4,,EMS Equipment Office,Other Station,6,1,OPEN,294514,,http://app.fems.dc.gov/details.asp?cid=50
-77.0112297792,38.8769286342,7,Engine 7 Station,Fire_021,,1101 HALF STREET SW,(202) 673-3207,0,7,0,0,0,,,Other Station,7,2,OPEN,277735,,http://app.fems.dc.gov/details.asp?cid=51
-76.9829435823,38.8855398578,8,Engine 8 Station,Fire_019,1073    0806,1520 C STREET SE,(202) 673-3208,2,8,0,8,0,"EMS 2, AIR 2,MEDIC UNIT 35,",Emergency Medical Supervisor 2,Other Station,8,2,OPEN,289723,,http://app.fems.dc.gov/details.asp?cid=52
-77.0375255341,38.9172964693,9,Engine 9 Station,Fire_025,0175    0826,1617 U STREET NW,(202) 673-3209,0,28,0,0,0,,,Other Station,9,4,OPEN,241846,,http://app.fems.dc.gov/details.asp?cid=53
