"Occupation","BirthCitizen","Immigrant"
10,3795,267
20,1333,216
40,674,0
50,1046,0
60,1682,188
100,0,110
110,1131,454
120,995,442
136,894,177
137,268,0
150,615,244
220,474,220
230,2535,186
310,1327,0
340,281,102
350,1125,122
360,235,0
410,1108,151
420,4032,310
425,225,0
430,13278,2939
500,228,0
520,114,0
530,760,119
540,342,0
565,450,164
630,2439,261
650,221,0
700,373,0
710,4640,557
725,878,185
726,993,582
735,891,127
740,2824,254
800,1457,385
810,108,0
820,707,225
830,0,66
840,743,37
850,1157,212
910,154,78
930,62,0
940,97,0
1005,34,140
1006,1102,70
1007,175,0
1010,309,248
1020,2163,231
1030,468,74
1050,1315,213
1060,484,304
1105,339,0
1106,345,0
1107,1362,0
1200,241,35
1220,3573,836
1240,294,723
1300,384,94
1320,0,75
1340,55,0
1360,369,141
1400,112,0
1410,110,0
1420,78,0
1430,51,0
1530,241,63
1550,66,42
1610,101,0
1640,0,340
1650,249,565
1720,72,0
1740,65,449
1760,610,650
1800,1291,1014
1820,112,0
1860,876,207
1965,817,503
2000,1360,91
2010,1821,71
2015,95,0
2016,1189,727
2025,789,87
2040,767,0
2050,149,0
2100,15252,3667
2105,269,37
2145,2312,679
2160,1430,0
2200,3951,1098
2300,759,273
2310,4286,188
2320,589,0
2330,233,0
2340,1738,681
2400,1239,0
2430,289,0
2440,61,0
2540,1311,187
2550,654,35
2600,425,162
2630,1461,561
2710,1026,169
2720,590,0
2740,201,0
2750,33,0
2800,0,158
2810,1010,1089
2825,2155,421
2830,2533,203
2840,123,114
2850,2223,729
2860,452,0
2900,258,0
2910,476,113
3010,50,0
3030,156,0
3050,0,89
3060,680,836
3110,48,0
3160,365,185
3220,171,0
3230,141,0
3255,1412,210
3258,63,0
3300,136,0
3310,180,0
3320,342,0
3400,106,72
3420,0,112
3500,355,0
3520,57,0
3535,352,0
3540,115,323
3600,1234,574
3630,479,0
3640,136,214
3645,440,0
3649,392,83
3710,86,0
3730,213,0
3800,50,0
3820,402,0
3850,1494,0
3910,157,0
3930,6051,77
3940,171,0
3955,450,86
4000,193,322
4010,697,346
4020,2125,1248
4030,1419,126
4040,1829,50
4110,1669,552
4120,92,0
4130,440,152
4140,861,0
4150,407,68
4200,484,0
4220,3768,4713
4230,1065,2126
4250,83,283
4340,213,0
4350,600,0
4430,244,0
4500,341,0
4510,530,138
4520,325,0
4530,356,110
4540,327,0
4600,1386,456
4610,756,0
4620,1127,415
4640,61,0
4650,601,110
4700,1159,450
4710,1069,218
4720,2015,588
4750,57,0
4760,3230,609
4800,712,0
4810,133,0
4820,299,394
4830,81,0
4840,832,141
4850,501,0
4920,2579,44
4950,196,0
4965,311,0
5000,1690,444
5020,37,0
5030,396,0
5110,619,35
5120,291,0
5140,94,0
5160,0,116
5165,354,184
5220,140,0
5230,0,87
5240,2281,522
5250,145,0
5260,858,228
5300,0,229
5310,108,0
5320,212,0
5350,570,155
5360,53,0
5400,2076,619
5410,733,0
5420,229,0
5510,0,116
5540,282,0
5560,329,0
5600,134,0
5620,1567,0
5700,3970,577
5800,37,0
5810,556,0
5820,849,0
5840,60,0
5860,3326,325
5920,146,0
5940,965,0
6200,106,265
6220,52,633
6230,330,653
6260,1168,53
6320,80,0
6355,437,0
6420,551,475
6440,227,0
6660,223,0
7010,0,135
7040,64,0
7140,164,0
7315,660,0
7340,83,0
7700,106,0
7800,109,0
7810,0,43
8250,83,0
8255,293,95
8256,34,0
8300,100,78
8610,183,753
8830,144,0
8950,118,0
8965,119,0
9000,261,0
9040,132,0
9120,426,0
9130,848,257
9140,424,499
9200,225,0
9260,28,0
9350,408,53
9360,0,132
9415,94,0
9420,171,0
9600,110,0
9620,1944,0
9640,61,0
9720,326,0
9800,178,0
9810,309,0
9820,126,0
9830,478,75
