"Occupation","State","BirthCitizen","Immigrant","medianWage","totalPop","Immigrant_Prop","OccName","wageLev"
10,"DC",9374,1281,135000,10655,12,"Chief executives","High"
10,"MD",7806,1572,135000,9378,16,"Chief executives","High"
10,"VA",10929,1913,150000,12842,14,"Chief executives","High"
20,"DC",3399,815,102000,4214,19,"General and operations managers","High"
20,"MD",4642,1236,65000,5878,21,"General and operations managers","Mid"
20,"VA",4743,1120,80000,5863,19,"General and operations managers","Mid"
50,"DC",3316,249,66000,3565,6,"Marketing and sales managers","Mid"
50,"MD",5468,649,70000,6117,10,"Marketing and sales managers","Mid"
50,"VA",7372,1368,95000,8740,15,"Marketing and sales managers","High"
60,"DC",4006,306,100000,4312,7,"Public relations and fundraising managers","High"
110,"DC",5657,2098,112000,7755,27,"Computer and information systems managers","High"
110,"MD",5410,2212,110000,7622,29,"Computer and information systems managers","High"
110,"VA",9096,2434,120000,11530,21,"Computer and information systems managers","High"
120,"DC",5832,2623,120000,8455,31,"Financial managers","High"
120,"MD",6335,1782,88000,8117,21,"Financial managers","High"
120,"VA",8707,3276,105000,11983,27,"Financial managers","High"
136,"DC",4056,808,100000,4864,16,"Human resources managers","High"
136,"VA",3753,911,102000,4664,19,"Human resources managers","High"
150,"DC",2534,927,105000,3461,26,"Purchasing managers","High"
150,"VA",3919,192,97000,4111,4,"Purchasing managers","High"
220,"MD",5045,788,72000,5833,13,"Construction managers","Mid"
220,"VA",4714,755,72000,5469,13,"Construction managers","Mid"
230,"DC",5938,962,72000,6900,13,"Education administrators","Mid"
230,"MD",6235,847,70000,7082,11,"Education administrators","Mid"
230,"VA",5976,1580,68000,7556,20,"Education administrators","Mid"
310,"DC",2178,1446,50000,3624,39,"Food service managers","Mid"
310,"MD",2718,1707,48000,4425,38,"Food service managers","Mid"
310,"VA",4145,3968,40000,8113,48,"Food service managers","Mid"
350,"DC",2425,720,83000,3145,22,"Medical and health services managers","Mid"
350,"MD",4297,1530,90000,5827,26,"Medical and health services managers","High"
350,"VA",3153,547,78000,3700,14,"Medical and health services managers","Mid"
410,"DC",2621,516,72000,3137,16,"Property, real estate, and community association managers","Mid"
410,"MD",2818,915,60000,3733,24,"Property, real estate, and community association managers","Mid"
410,"VA",3699,1126,59000,4825,23,"Property, real estate, and community association managers","Mid"
420,"DC",8769,990,90000,9759,10,"Social and community service managers","High"
420,"MD",2934,193,74000,3127,6,"Social and community service managers","Mid"
420,"VA",4797,423,54000,5220,8,"Social and community service managers","Mid"
430,"DC",48545,12467,105000,61012,20,"Managers, all other","High"
430,"MD",34130,9191,93000,43321,21,"Managers, all other","High"
430,"VA",41910,11768,106000,53678,21,"Managers, all other","High"
530,"VA",2125,894,82000,3019,29,"Purchasing agents, except wholesale, retail, and farm products","Mid"
630,"DC",9404,1456,82000,10860,13,"Human resources workers","Mid"
630,"MD",5965,472,70000,6437,7,"Human resources workers","Mid"
630,"VA",8881,1779,70000,10660,16,"Human resources workers","Mid"
710,"DC",13939,1737,83000,15676,11,"Management analysts","Mid"
710,"MD",8077,2514,72000,10591,23,"Management analysts","Mid"
710,"VA",13802,5505,90000,19307,28,"Management analysts","High"
725,"DC",2525,900,41000,3425,26,"Meeting, convention, and event planners","Mid"
726,"DC",2135,959,65000,3094,30,"Fundraisers","Mid"
740,"DC",6113,1634,80000,7747,21,"Business operations specialists, all other","Mid"
740,"VA",4230,1460,70000,5690,25,"Business operations specialists, all other","Mid"
800,"DC",10529,6038,85000,16567,36,"Accountants and auditors","High"
800,"MD",13980,4359,64000,18339,23,"Accountants and auditors","Mid"
800,"VA",16318,4780,75000,21098,22,"Accountants and auditors","Mid"
820,"DC",2884,502,100000,3386,14,"Budget analysts","High"
840,"DC",2792,713,90000,3505,20,"Financial analysts","High"
840,"VA",2322,791,78000,3113,25,"Financial analysts","Mid"
850,"VA",4071,295,50000,4366,6,"Personal financial advisors","Mid"
910,"VA",3277,468,57000,3745,12,"Credit counselors and loan officers","Mid"
1006,"DC",4692,1373,80000,6065,22,"Computer systems analysts","Mid"
1006,"MD",3817,1561,72000,5378,29,"Computer systems analysts","Mid"
1006,"VA",8323,4237,80000,12560,33,"Computer systems analysts","Mid"
1010,"DC",2365,702,86000,3067,22,"Computer programmers","High"
1010,"MD",2700,1452,95000,4152,34,"Computer programmers","High"
1010,"VA",3161,2649,98000,5810,45,"Computer programmers","High"
1020,"DC",9286,4338,94000,13624,31,"Software developers, applications and systems software","High"
1020,"MD",7988,4281,100000,12269,34,"Software developers, applications and systems software","High"
