Day,Month,Year,sightings
1,1,2011,64
2,1,2011,8
3,1,2011,11
4,1,2011,14
5,1,2011,6
6,1,2011,20
7,1,2011,5
8,1,2011,8
9,1,2011,5
10,1,2011,8
11,1,2011,12
12,1,2011,11
13,1,2011,6
14,1,2011,9
15,1,2011,12
16,1,2011,12
17,1,2011,5
18,1,2011,8
19,1,2011,10
20,1,2011,5
21,1,2011,7
22,1,2011,12
23,1,2011,3
24,1,2011,9
25,1,2011,5
26,1,2011,6
27,1,2011,9
28,1,2011,7
29,1,2011,11
30,1,2011,3
31,1,2011,6
32,2,2011,6
33,2,2011,8
34,2,2011,9
35,2,2011,5
36,2,2011,17
37,2,2011,9
38,2,2011,7
39,2,2011,8
40,2,2011,6
41,2,2011,14
42,2,2011,13
43,2,2011,8
44,2,2011,6
45,2,2011,12
46,2,2011,11
47,2,2011,5
48,2,2011,7
49,2,2011,14
50,2,2011,9
51,2,2011,11
52,2,2011,11
53,2,2011,10
54,2,2011,11
55,2,2011,5
56,2,2011,8
57,2,2011,6
58,2,2011,4
59,2,2011,11
60,3,2011,18
61,3,2011,17
62,3,2011,12
63,3,2011,12
64,3,2011,7
65,3,2011,7
66,3,2011,12
67,3,2011,9
68,3,2011,8
69,3,2011,11
70,3,2011,15
71,3,2011,9
72,3,2011,8
73,3,2011,6
74,3,2011,8
75,3,2011,8
76,3,2011,6
77,3,2011,8
78,3,2011,14
79,3,2011,11
80,3,2011,3
81,3,2011,12
82,3,2011,5
83,3,2011,9
84,3,2011,10
85,3,2011,11
86,3,2011,4
87,3,2011,11
88,3,2011,10
89,3,2011,6
90,3,2011,8
91,4,2011,13
92,4,2011,10
93,4,2011,7
94,4,2011,10
95,4,2011,10
96,4,2011,8
97,4,2011,10
98,4,2011,11
99,4,2011,15
100,4,2011,3
101,4,2011,10
102,4,2011,10
103,4,2011,9
104,4,2011,22
105,4,2011,7
106,4,2011,10
107,4,2011,12
108,4,2011,7
109,4,2011,5
110,4,2011,9
111,4,2011,6
112,4,2011,7
113,4,2011,10
114,4,2011,11
115,4,2011,4
116,4,2011,7
117,4,2011,2
118,4,2011,7
119,4,2011,16
120,4,2011,17
121,5,2011,10
122,5,2011,9
123,5,2011,13
124,5,2011,10
125,5,2011,18
126,5,2011,8
127,5,2011,8
128,5,2011,14
129,5,2011,7
130,5,2011,3
131,5,2011,12
132,5,2011,5
133,5,2011,8
134,5,2011,9
135,5,2011,8
136,5,2011,6
137,5,2011,5
138,5,2011,2
139,5,2011,6
140,5,2011,10
141,5,2011,14
142,5,2011,13
143,5,2011,5
144,5,2011,7
145,5,2011,6
146,5,2011,7
147,5,2011,6
148,5,2011,19
149,5,2011,14
150,5,2011,11
151,5,2011,8
152,6,2011,15
153,6,2011,11
154,6,2011,15
155,6,2011,11
156,6,2011,6
157,6,2011,8
158,6,2011,8
159,6,2011,10
160,6,2011,7
161,6,2011,9
162,6,2011,11
163,6,2011,8
164,6,2011,14
165,6,2011,12
166,6,2011,20
167,6,2011,12
168,6,2011,15
169,6,2011,12
170,6,2011,11
171,6,2011,7
172,6,2011,14
173,6,2011,5
174,6,2011,7
175,6,2011,12
176,6,2011,20
177,6,2011,9
178,6,2011,7
179,6,2011,24
180,6,2011,19
181,6,2011,21
182,7,2011,30
183,7,2011,31
184,7,2011,69
185,7,2011,151
186,7,2011,21
187,7,2011,9
188,7,2011,15
189,7,2011,8
190,7,2011,18
191,7,2011,17
192,7,2011,15
193,7,2011,6
194,7,2011,19
195,7,2011,12
196,7,2011,24
197,7,2011,22
198,7,2011,17
199,7,2011,11
200,7,2011,10
201,7,2011,13
202,7,2011,16
203,7,2011,19
204,7,2011,26
205,7,2011,16
206,7,2011,10
207,7,2011,8
208,7,2011,19
209,7,2011,11
210,7,2011,14
211,7,2011,41
212,7,2011,16
213,8,2011,17
214,8,2011,17
215,8,2011,17
216,8,2011,18
217,8,2011,16
218,8,2011,22
219,8,2011,12
220,8,2011,16
221,8,2011,6
222,8,2011,13
223,8,2011,26
224,8,2011,38
225,8,2011,30
226,8,2011,21
227,8,2011,21
228,8,2011,14
229,8,2011,19
230,8,2011,10
231,8,2011,22
232,8,2011,31
233,8,2011,20
234,8,2011,13
235,8,2011,16
236,8,2011,11
237,8,2011,23
238,8,2011,15
239,8,2011,29
240,8,2011,23
241,8,2011,16
242,8,2011,21
243,8,2011,16
244,9,2011,25
245,9,2011,19
246,9,2011,29
247,9,2011,28
248,9,2011,12
249,9,2011,4
250,9,2011,9
251,9,2011,15
252,9,2011,15
253,9,2011,34
254,9,2011,16
255,9,2011,13
256,9,2011,14
257,9,2011,22
258,9,2011,16
259,9,2011,16
260,9,2011,26
261,9,2011,19
262,9,2011,10
263,9,2011,17
264,9,2011,11
265,9,2011,7
266,9,2011,15
267,9,2011,22
268,9,2011,20
269,9,2011,12
270,9,2011,12
271,9,2011,18
272,9,2011,17
273,9,2011,21
274,10,2011,27
275,10,2011,10
276,10,2011,9
277,10,2011,7
278,10,2011,21
279,10,2011,21
280,10,2011,16
281,10,2011,29
282,10,2011,23
283,10,2011,14
284,10,2011,8
285,10,2011,8
286,10,2011,14
287,10,2011,30
288,10,2011,24
289,10,2011,19
290,10,2011,21
291,10,2011,18
292,10,2011,15
293,10,2011,23
294,10,2011,29
295,10,2011,35
296,10,2011,36
297,10,2011,16
298,10,2011,23
299,10,2011,8
300,10,2011,14
301,10,2011,26
302,10,2011,18
303,10,2011,17
